dataset,method,n_seeds,auc_mean,auc_std,seed_42_auc,seed_123_auc,seed_2024_auc
cmc,MLP,3,0.7360426929,0.0057335894,0.7375887659,0.7421630094,0.7283763035
cmc,FT-Transformer,3,0.7347738468,0.0035531812,0.7349017977,0.7303595419,0.7390602009
cmc,CNN-M1,3,0.6196127354,0.0083548721,0.6253598618,0.6077986053,0.6256797390
cmc,CNN-M1c,3,0.7504051777,0.0012267983,0.7501599386,0.7520152262,0.7490403685
cmc,CNN-M2,3,0.6266180453,0.0032428597,0.6251359478,0.6236005374,0.6311176508
cmc,CNN-M3-full,3,0.7411500650,0.0036176145,0.7446900390,0.7425788497,0.7361813064
cmc,CNN-M3-noG,3,0.6104215981,0.0216364847,0.6241763163,0.5798733286,0.6272151494
cmc,CNN-M3-noB,3,0.7513861344,0.0058716027,0.7431866163,0.7543503295,0.7566214574
cmc,CNN-M3-corrB,3,0.7411500650,0.0036176145,0.7446900390,0.7425788497,0.7361813064
cmc,CNN-M3-shapB,3,0.7513861344,0.0058716027,0.7431866163,0.7543503295,0.7566214574
cmc,CNN-M3-RG,3,0.7540624400,0.0072595910,0.7476009212,0.7642025462,0.7503838526
cmc,CNN-IGTD,3,0.5514362485,0.0290287193,0.5728360310,0.5103960079,0.5710767065
ilpd,XGBoost,3,0.7651044158,0.0070815695,0.7596843615,0.7605212817,0.7751076040
ilpd,LightGBM,3,0.7769010043,0.0089518444,0.7663797226,0.7760640842,0.7882592061
ilpd,CatBoost,3,0.7708432967,0.0152442020,0.7659014825,0.7914873266,0.7551410808
ilpd,MLP,3,0.7051649928,0.0168145203,0.6829268293,0.7089909134,0.7235772358
ilpd,FT-Transformer,3,0.6903395505,0.0492575671,0.6209947394,0.7192730751,0.7307508369
ilpd,CNN-M1,3,0.7678941495,0.0356859898,0.7766618843,0.7204686753,0.8065518890
ilpd,CNN-M1c,3,0.7706041766,0.0431483405,0.7934002869,0.7101865136,0.8082257293
ilpd,CNN-M2,3,0.7854296190,0.0126926474,0.7857484457,0.8008130081,0.7697274032
ilpd,CNN-M3-full,3,0.7469312928,0.0048470575,0.7517934003,0.7403156385,0.7486848398
ilpd,CNN-M3-noG,3,0.7460545194,0.0081253913,0.7513151602,0.7345767575,0.7522716404
ilpd,CNN-M3-noB,3,0.7407938785,0.0244074295,0.7412721186,0.7704447633,0.7106647537
ilpd,CNN-M3-corrB,3,0.7482863064,0.0129953668,0.7515542802,0.7309899570,0.7623146820
ilpd,CNN-M3-shapB,3,0.7490833732,0.0105670738,0.7379244381,0.7632711621,0.7460545194
ilpd,CNN-M3-RG,3,0.7639885222,0.0149113282,0.7522716404,0.7850310856,0.7546628407
ilpd,CNN-IGTD,3,0.7698868165,0.0116399046,0.7551410808,0.7709230033,0.7835963654
segment,XGBoost,3,1.0000000000,0.0000000000,1.0000000000,1.0000000000,1.0000000000
segment,LightGBM,3,1.0000000000,0.0000000000,1.0000000000,1.0000000000,1.0000000000
segment,CatBoost,3,1.0000000000,0.0000000000,1.0000000000,1.0000000000,1.0000000000
segment,MLP,3,1.0000000000,0.0000000000,1.0000000000,1.0000000000,1.0000000000
segment,FT-Transformer,3,1.0000000000,0.0000000000,1.0000000000,1.0000000000,1.0000000000
segment,CNN-M1,3,1.0000000000,0.0000000000,1.0000000000,1.0000000000,1.0000000000
segment,CNN-M2,3,1.0000000000,0.0000000000,1.0000000000,1.0000000000,1.0000000000
segment,CNN-M3-full,3,1.0000000000,0.0000000000,1.0000000000,1.0000000000,1.0000000000
segment,CNN-M3-noB,3,1.0000000000,0.0000000000,1.0000000000,1.0000000000,1.0000000000
segment,CNN-M3-corrB,3,1.0000000000,0.0000000000,1.0000000000,1.0000000000,1.0000000000
segment,CNN-M3-shapB,3,1.0000000000,0.0000000000,1.0000000000,1.0000000000,1.0000000000
segment,CNN-M3-RG,3,1.0000000000,0.0000000000,1.0000000000,1.0000000000,1.0000000000
segment,CNN-IGTD,3,1.0000000000,0.0000000000,1.0000000000,1.0000000000,1.0000000000
vehicle,XGBoost,3,0.9994209612,0.0002836699,0.9990735379,0.9994209612,0.9997683845
vehicle,LightGBM,3,0.9998069871,0.0002729615,0.9994209612,1.0000000000,1.0000000000
vehicle,CatBoost,3,0.9993823586,0.0003039571,0.9989577302,0.9995367690,0.9996525767
vehicle,MLP,3,0.9960239336,0.0014840674,0.9939779965,0.9974522293,0.9966415750
vehicle,FT-Transformer,3,0.9900791353,0.0046422720,0.9884192241,0.9854082224,0.9964099595
vehicle,CNN-M1,3,0.7535996912,0.1804300331,0.5696583671,0.9987261146,0.6924145918
vehicle,CNN-M2,3,0.9951360741,0.0006551076,0.9955993052,0.9955993052,0.9942096120
vehicle,CNN-M3-full,3,0.8033584250,0.1368815380,0.7022582513,0.9968731905,0.7109438332
vehicle,CNN-M3-noB,3,0.9974908319,0.0005540513,0.9972206138,0.9969889983,0.9982628836
vehicle,CNN-M3-corrB,3,0.9971048060,0.0018408213,0.9945570353,0.9979154603,0.9988419224
vehicle,CNN-M3-shapB,3,0.9358425014,0.0872140845,0.9966415750,0.9983786914,0.8125072380
vehicle,CNN-M3-RG,3,0.9051148427,0.1303415972,0.9962941517,0.9982628836,0.7207874928
vehicle,CNN-IGTD,3,0.9455317506,0.0751470313,0.8392588303,0.9982628836,0.9990735379
spambase,XGBoost,3,0.9842147496,0.0009519796,0.9834461747,0.9836417663,0.9855563078
spambase,LightGBM,3,0.9861844580,0.0011711092,0.9866602723,0.9845727074,0.9873203942
